sol-sniper-bot  | {"level":"info","mint":"CjWYW8UqSyyNF8MypprbGnpow1RB22vJTU3rKQPxpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068634736,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"9x6pvWTafgtfMXtL8JyxJQYKedhPFztVyqepp4Xkpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068635679,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"AM39S6KAV4rGcBJBbJQbLyyBV5y8ioawqH4FuZtLpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068707997,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"ABAj396MtQ4CbgQs1MU4YhvkkJTQtcbZmQw9xQdGpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068739375,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"GsDGZPNKundkkrTXP3Y8WjPtJn1HvW8XLP2awogJpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068740434,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"DFNYcxci5NXwSyKYbfR9RAFB6cBbjJFx6SgyppGLpump","buy_sol":0.1,"tip_sol":0.001080709,"time":1776068740773,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"BN6JXu6UhtjjfzKWefrhpCW2Zo5pY7Pfkcgkpccapump","buy_sol":0.1,"tip_sol":0.001,"time":1776068796741,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"5chct4yvkgrShDzkkHntfThB7MUMMUSYfEv3QTQdpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068886573,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"5rymyHsJjt9cNbt5Y1DLGdhzzHNcJekZKyJJGBVmpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068902495,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"6na9ivLvbHiDH22oXqsTqidVzzQMByTSYZCZuagCpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068910018,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"HRk4eJkFK4fr6BapphfNHtYghq12SauP7gyVMbagpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068927493,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"FwunLFGTqUy8pKiWekbUG82yDcFnsx58rgNT4P3Kpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068958134,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"5V6fw3WGKUVzf7U5JskJmWe8c3UcfMyix1ijDUjupump","buy_sol":0.1,"tip_sol":0.001311479,"time":1776069002835,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"Au2NLyc2WTgW7csVXhJEVNWNb8EoHyeEAxhgdR2kpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069047006,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"HJtdTitGNRCbjXLBbJMsLXkHiZnrPYi2oD91tTQ6pump","buy_sol":0.1,"tip_sol":0.001060703,"time":1776069065804,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"6ahNm5jeWf7Pcxv7PThLKtF7gTZw6T1WnugEtrwMpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069083434,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"Dd55S7waTRWVXrmthJeW6uXsZH5RXsrGGXECidQpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069107112,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"EqZ7RHcE4Y538fWzeU4h4EE96S5CrgmvRTgA1B7cpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069172664,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"3eougtavePcpn75xyJbbquoyWSNjnwN55A2i1kTspump","buy_sol":0.1,"tip_sol":0.001,"time":1776069182006,"message":"executor: [SIM] bundle skipped — simulation mode"}
