sol-sniper-bot  | {"level":"info","mint":"5rymyHsJjt9cNbt5Y1DLGdhzzHNcJekZKyJJGBVmpump","trigger":"stop_loss","time":1776068918859,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"HRk4eJkFK4fr6BapphfNHtYghq12SauP7gyVMbagpump","trigger":"stop_loss","time":1776068928847,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"CjWYW8UqSyyNF8MypprbGnpow1RB22vJTU3rKQPxpump","trigger":"timeout","time":1776068940177,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"FwunLFGTqUy8pKiWekbUG82yDcFnsx58rgNT4P3Kpump","trigger":"stop_loss","time":1776068998873,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"AM39S6KAV4rGcBJBbJQbLyyBV5y8ioawqH4FuZtLpump","trigger":"timeout","time":1776069008845,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"HJtdTitGNRCbjXLBbJMsLXkHiZnrPYi2oD91tTQ6pump","trigger":"stop_loss","time":1776069078880,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"Au2NLyc2WTgW7csVXhJEVNWNb8EoHyeEAxhgdR2kpump","trigger":"stop_loss","time":1776069148874,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"6na9ivLvbHiDH22oXqsTqidVzzQMByTSYZCZuagCpump","trigger":"stop_loss","time":1776069168888,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"EqZ7RHcE4Y538fWzeU4h4EE96S5CrgmvRTgA1B7cpump","trigger":"stop_loss","time":1776069178837,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"5chct4yvkgrShDzkkHntfThB7MUMMUSYfEv3QTQdpump","trigger":"timeout","time":1776069188854,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"3ZpdAMc2NumSbR5u1dR9rJ5P5DDJNMjrJyvzjrf4pump","trigger":"stop_loss","time":1776069228870,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"rgxGMh8ESBTjs3VyqVC2JgLSA7nNQksrQ2QAMKGpump","trigger":"stop_loss","time":1776069238876,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"5V6fw3WGKUVzf7U5JskJmWe8c3UcfMyix1ijDUjupump","trigger":"take_profit","time":1776069268850,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"9dXc2bU1kBaDpMeyJLKRJUws9iJhtuVxY2vEGpxbpump","trigger":"stop_loss","time":1776069288857,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"6x9HD94SH8E53CjnTM1HUTPEPdUjhGmpUD9YNQG9tJ1q","trigger":"stop_loss","time":1776069288858,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"6antLBi9J66u4LGGadBK2Tycj3KxMNFHK3MbYwRUpump","trigger":"stop_loss","time":1776069338870,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"6ahNm5jeWf7Pcxv7PThLKtF7gTZw6T1WnugEtrwMpump","trigger":"timeout","time":1776069388865,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"Dd55S7waTRWVXrmthJeW6uXsZH5RXsrGGXECidQpump","trigger":"timeout","time":1776069408856,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"5ngy9jKWepjNsLJvxuKmc3dizYgHfJYMDGWYc2DMpump","trigger":"stop_loss","time":1776069468868,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"A8ZeiooFuLkWrfVXE9SbWwgJTiqaymVoqKoZt8Yspump","trigger":"stop_loss","time":1776069468875,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"3eougtavePcpn75xyJbbquoyWSNjnwN55A2i1kTspump","trigger":"timeout","time":1776069488873,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"EjZZrjqfPWR6tton95hP1ahcMTgcT8Yv8QKtcn6Spump","trigger":"timeout","time":1776069498854,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"HTEZKFM91DgHRMgFDJnq2zMzut1qnvQRw5ZTsQ92pump","trigger":"stop_loss","time":1776069498859,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"GXZhZna1gi3V3AJBDEHfsEsXTBNdNTGAKXn2pfZT9MUf","trigger":"stop_loss","time":1776069508865,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"Fe5oG9pstnH5LyyprGQHmmpvyb7eXztuZp41kNXBpump","trigger":"take_profit","time":1776069518865,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"EEZxLa3sYuZaFZJzmDSQDsuEK2QMvDRdcDNeA1Xnpump","trigger":"stop_loss","time":1776069558866,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"43jtj1uWvBZTVmc3E7cSnVSToV1Y5ta5Urqoa4pApump","trigger":"stop_loss","time":1776069568874,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"HvaY6X311g4hev4hamGu4okciWzLU5pRQtZEntqGpump","trigger":"stop_loss","time":1776069578868,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"7Sy1tWDDQdg29qBoxvU5iBMqrDhoVjHEwdKL4Ri1pump","trigger":"stop_loss","time":1776069588849,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"89iJp8Noi555eoVP75ssofFuHnmVvNsZpcw7bFCdpump","trigger":"stop_loss","time":1776069598851,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"CQjbvw8cteWPsNL46zBfNF6ZH4PCawANaDCk3cWM8cX7","trigger":"stop_loss","time":1776069608858,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"6Q3S7UVWuEu8j25eehZn9MdU68oH3iMdMUk1d197pump","trigger":"timeout","time":1776069628874,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"56sRUJJCiodHoXToujUx3odLxzktJoYZs9i2fKURpump","trigger":"stop_loss","time":1776069628882,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"21d3xVhBDNDAQMmLEmsfBwxtjmRTLmaA38zUNXhWpump","trigger":"stop_loss","time":1776069638836,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"Cn8bor6XnwuEW1Wt6vawcP1769WAtVFWtX4JkGEEpump","trigger":"stop_loss","time":1776069668854,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"BPKgsEKeBX92fAX7Snz9rHjehMx1outR6cmVSrrrpump","trigger":"stop_loss","time":1776069678843,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"GjUk8SwuhaWLVfBfSzN8SrEutz1j3z2WYr4Te1vXpump","trigger":"stop_loss","time":1776069698872,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"muPfk9Bd4NYXsqP4rpuoLN8nqD5ef14QwvoBHq1pump","trigger":"stop_loss","time":1776069708860,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"AZBo1Yh6uLHeasS3hsefmZymMHCGwQtPncFFhk5vpump","trigger":"timeout","time":1776069708866,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"GwCwJ9pKauyZZN1DKUjQQcnnXbateEADRQzKMpp4JFFF","trigger":"stop_loss","time":1776069708868,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"3HgPSLLxcbTewpYFqmFdfhjq8tdahEZYuBattKGppump","trigger":"timeout","time":1776069718870,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"JRvTg9HnfnJpwYinKRsYCmFR4nwqvsup2MnZkGjpump","trigger":"timeout","time":1776069758843,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"DBhpd7Jh8LUWkLb4n59j5HfmgbN4AwoExgKYSJAwpump","trigger":"stop_loss","time":1776069838861,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"FVmkGfLbFwuKfXVsZNg4qRNK7RDE1vTiLXL4e2sFpump","trigger":"stop_loss","time":1776069848843,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"3DveaMxGwLZ8mrZ4Cv6Sb3NUWDGGcKDG67RSvmUjpump","trigger":"stop_loss","time":1776069848864,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"BqztwiCpQtEnsq9nBAq6yuvUQokq4ERUdiGJGgQBpump","trigger":"stop_loss","time":1776069888854,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"J1vN54p9iV9HMuMHC1AmoW53AMz4Jh3zTYT24MSWpump","trigger":"stop_loss","time":1776069908876,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"AxCiMdztb38HXC82PKZXnGt8tdgdcSHasyKfpbtgpump","trigger":"stop_loss","time":1776069928858,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"F2BVaeDKBJmSRyqH6NKE2y64wXME9ydocf3iG9VQpump","trigger":"stop_loss","time":1776069938866,"message":"executor: [SIM] sell skipped"}
